taxon,state_name,bad_neighbor_count,state_nn_species_count
Aves,Alabama,42,8
Aves,Arizona,35,21
Aves,Arkansas,28,10
Aves,California,1,51
Aves,Colorado,16,17
Aves,Connecticut,13,17
Aves,Delaware,10,9
Aves,District_of_Columbia,9,7
Aves,Florida,1,49
Aves,Georgia,42,9
Aves,Idaho,26,11
Aves,Iowa,22,8
Aves,Illinois,4,20
Aves,Indiana,38,12
Aves,Kansas,17,10
Aves,Kentucky,26,7
Aves,Louisiana,15,18
Aves,Maine,0,8
Aves,Maryland,12,10
Aves,Massachusetts,19,14
Aves,Michigan,0,48
Aves,Minnesota,4,17
Aves,Mississippi,17,7
Aves,Missouri,18,11
Aves,Montana,5,11
Aves,Nebraska,15,7
Aves,New_Hampshire,11,6
Aves,New_Jersey,17,12
Aves,New_Mexico,16,21
Aves,New_York,8,26
Aves,Nevada,35,17
Aves,North_Carolina,6,20
Aves,North_Dakota,13,9
Aves,Ohio,25,23
Aves,Oklahoma,25,15
Aves,Oregon,38,17
Aves,Pennsylvania,20,15
Aves,Rhode_Island,15,6
Aves,South_Carolina,17,7
Aves,South_Dakota,12,8
Aves,Tennessee,25,6
Aves,Texas,14,25
Aves,Utah,18,15
Aves,Vermont,20,10
Aves,Virginia,12,14
Aves,Washington,2,33
Aves,West_Virginia,21,7
Aves,Wisconsin,41,10
Aves,Wyoming,12,11
