state_name,bad_neighbor_count,state_nn_species_count,family
Alabama,131,95,Tree/Shrub
Arizona,243,57,Tree/Shrub
Arkansas,184,35,Tree/Shrub
California,43,256,Tree/Shrub
Colorado,107,84,Tree/Shrub
Connecticut,52,142,Tree/Shrub
Delaware,114,35,Tree/Shrub
District_of_Columbia,46,107,Tree/Shrub
Florida,44,163,Tree/Shrub
Georgia,128,94,Tree/Shrub
Idaho,144,73,Tree/Shrub
Illinois,74,119,Tree/Shrub
Indiana,120,49,Tree/Shrub
Iowa,158,31,Tree/Shrub
Kansas,88,110,Tree/Shrub
Kentucky,144,73,Tree/Shrub
Louisiana,67,94,Tree/Shrub
Maine,8,69,Tree/Shrub
Maryland,85,96,Tree/Shrub
Massachusetts,72,137,Tree/Shrub
Michigan,44,101,Tree/Shrub
Minnesota,48,42,Tree/Shrub
Mississippi,70,92,Tree/Shrub
Missouri,73,150,Tree/Shrub
Montana,26,150,Tree/Shrub
Nebraska,168,33,Tree/Shrub
Nevada,250,35,Tree/Shrub
New_Hampshire,94,53,Tree/Shrub
New_Jersey,85,104,Tree/Shrub
New_Mexico,135,49,Tree/Shrub
New_York,63,164,Tree/Shrub
North_Carolina,62,99,Tree/Shrub
North_Dakota,138,23,Tree/Shrub
Ohio,66,104,Tree/Shrub
Oklahoma,191,37,Tree/Shrub
Oregon,148,144,Tree/Shrub
Pennsylvania,81,120,Tree/Shrub
Rhode_Island,119,54,Tree/Shrub
South_Carolina,46,77,Tree/Shrub
South_Dakota,61,23,Tree/Shrub
Tennessee,141,88,Tree/Shrub
Texas,61,99,Tree/Shrub
Utah,92,73,Tree/Shrub
Vermont,126,67,Tree/Shrub
Virginia,64,115,Tree/Shrub
Washington,36,164,Tree/Shrub
West_Virginia,108,75,Tree/Shrub
Wisconsin,77,76,Tree/Shrub
Wyoming,167,33,Tree/Shrub
Alabama,21,5,Ivy/Vine
Arizona,10,1,Ivy/Vine
California,0,21,Ivy/Vine
Colorado,4,4,Ivy/Vine
Connecticut,2,6,Ivy/Vine
Delaware,2,1,Ivy/Vine
District_of_Columbia,0,8,Ivy/Vine
Florida,3,20,Ivy/Vine
Georgia,15,1,Ivy/Vine
Idaho,1,1,Ivy/Vine
Illinois,12,6,Ivy/Vine
Indiana,2,1,Ivy/Vine
Kansas,1,2,Ivy/Vine
Kentucky,1,2,Ivy/Vine
Louisiana,8,6,Ivy/Vine
Maine,1,1,Ivy/Vine
Maryland,1,3,Ivy/Vine
Massachusetts,2,5,Ivy/Vine
Michigan,1,2,Ivy/Vine
Minnesota,0,1,Ivy/Vine
Mississippi,7,2,Ivy/Vine
Missouri,2,18,Ivy/Vine
Montana,0,3,Ivy/Vine
Nebraska,2,1,Ivy/Vine
New_Hampshire,3,1,Ivy/Vine
New_Jersey,3,3,Ivy/Vine
New_York,2,7,Ivy/Vine
North_Carolina,2,8,Ivy/Vine
Ohio,1,5,Ivy/Vine
Oregon,6,4,Ivy/Vine
Pennsylvania,4,5,Ivy/Vine
Rhode_Island,3,1,Ivy/Vine
Tennessee,13,4,Ivy/Vine
Texas,2,12,Ivy/Vine
Utah,5,3,Ivy/Vine
Vermont,1,1,Ivy/Vine
Virginia,8,4,Ivy/Vine
Washington,0,6,Ivy/Vine
West_Virginia,3,3,Ivy/Vine
Wisconsin,2,1,Ivy/Vine
Alabama,120,87,Forb/Herb
Arizona,201,88,Forb/Herb
Arkansas,163,56,Forb/Herb
California,49,250,Forb/Herb
Colorado,77,126,Forb/Herb
Connecticut,77,160,Forb/Herb
Delaware,167,36,Forb/Herb
District_of_Columbia,70,111,Forb/Herb
