taxon,state_name,bad_neighbor_count,state_nn_species_count
Asteraceae,Alabama,75,55
Asteraceae,Arizona,152,68
Asteraceae,Arkansas,97,47
Asteraceae,California,35,187
Asteraceae,Colorado,48,95
Asteraceae,Connecticut,49,103
Asteraceae,Delaware,114,23
Asteraceae,District_of_Columbia,45,75
Asteraceae,Florida,36,76
Asteraceae,Georgia,89,53
Asteraceae,Idaho,97,69
Asteraceae,Iowa,96,31
Asteraceae,Illinois,48,79
Asteraceae,Indiana,63,49
Asteraceae,Kansas,78,60
Asteraceae,Kentucky,80,55
Asteraceae,Louisiana,49,59
Asteraceae,Maine,11,71
Asteraceae,Maryland,71,78
Asteraceae,Massachusetts,56,105
Asteraceae,Michigan,22,90
Asteraceae,Minnesota,36,52
Asteraceae,Mississippi,72,40
Asteraceae,Missouri,36,94
Asteraceae,Montana,28,94
Asteraceae,Nebraska,110,32
Asteraceae,New_Hampshire,51,64
Asteraceae,New_Jersey,72,78
Asteraceae,New_Mexico,97,52
Asteraceae,New_York,44,127
Asteraceae,Nevada,179,50
Asteraceae,North_Carolina,33,78
Asteraceae,North_Dakota,69,41
Asteraceae,Ohio,53,74
Asteraceae,Oklahoma,139,27
Asteraceae,Oregon,103,127
Asteraceae,Pennsylvania,57,105
Asteraceae,Rhode_Island,73,53
Asteraceae,South_Carolina,50,43
Asteraceae,South_Dakota,49,35
Asteraceae,Tennessee,101,55
Asteraceae,Texas,52,63
Asteraceae,Utah,81,61
Asteraceae,Vermont,92,60
Asteraceae,Virginia,55,80
Asteraceae,Washington,33,124
Asteraceae,West_Virginia,76,62
Asteraceae,Wisconsin,34,80
Asteraceae,Wyoming,97,52
Pteridaceae,Alabama,5,3
Pteridaceae,California,0,5
Pteridaceae,District_of_Columbia,0,3
Pteridaceae,Florida,1,7
Pteridaceae,Georgia,6,2
Pteridaceae,Louisiana,0,4
Pteridaceae,Mississippi,3,2
Pteridaceae,Missouri,1,2
Pteridaceae,North_Carolina,2,1
Pteridaceae,Oregon,3,2
Pteridaceae,South_Carolina,0,2
Pteridaceae,Texas,2,2
Pteridaceae,Virginia,1,2
Onagraceae,Alabama,3,3
Onagraceae,California,1,7
Onagraceae,Colorado,1,2
Onagraceae,Connecticut,3,2
Onagraceae,District_of_Columbia,1,1
Onagraceae,Florida,1,5
Onagraceae,Georgia,4,2
Onagraceae,Illinois,3,2
Onagraceae,Indiana,4,1
Onagraceae,Kansas,5,1
Onagraceae,Kentucky,6,1
Onagraceae,Louisiana,2,1
Onagraceae,Maine,0,1
Onagraceae,Maryland,2,2
Onagraceae,Massachusetts,3,2
Onagraceae,Michigan,1,3
Onagraceae,Minnesota,1,1
Onagraceae,Mississippi,1,2
Onagraceae,Missouri,2,3
Onagraceae,New_Hampshire,2,1
Onagraceae,New_Jersey,2,2
Onagraceae,New_York,1,4
Onagraceae,Nevada,7,1
Onagraceae,North_Carolina,2,1
Onagraceae,Ohio,2,3
Onagraceae,Oregon,3,6
Onagraceae,Pennsylvania,1,4
Onagraceae,Rhode_Island,2,1
Onagraceae,South_Carolina,1,2
Onagraceae,Tennessee,3,1
Onagraceae,Texas,0,3
Onagraceae,Vermont,2,2
Onagraceae,Virginia,1,1
Onagraceae,Washington,2,5
Onagraceae,West_Virginia,3,2
Onagraceae,Wisconsin,1,2
Lamiaceae,Alabama,37,26
Lamiaceae,Arizona,49,20
Lamiaceae,Arkansas,66,9
Lamiaceae,California,13,51
Lamiaceae,Colorado,28,29
Lamiaceae,Connecticut,25,55
Lamiaceae,Delaware,53,13
Lamiaceae,District_of_Columbia,24,32
Lamiaceae,Florida,13,43
Lamiaceae,Georgia,46,25
Lamiaceae,Idaho,42,21
Lamiaceae,Iowa,61,10
Lamiaceae,Illinois,31,42
Lamiaceae,Indiana,46,20
Lamiaceae,Kansas,40,28
Lamiaceae,Kentucky,53,28
Lamiaceae,Louisiana,13,31
Lamiaceae,Maine,6,22
Lamiaceae,Maryland,40,33
Lamiaceae,Massachusetts,27,54
Lamiaceae,Michigan,22,39
Lamiaceae,Minnesota,22,22
Lamiaceae,Mississippi,29,17
Lamiaceae,Missouri,21,53
Lamiaceae,Montana,8,53
Lamiaceae,Nebraska,58,12
Lamiaceae,New_Hampshire,36,20
Lamiaceae,New_Jersey,33,43
Lamiaceae,New_Mexico,45,12
Lamiaceae,New_York,31,59
Lamiaceae,Nevada,59,8
Lamiaceae,North_Carolina,25,37
Lamiaceae,North_Dakota,53,9
Lamiaceae,Ohio,35,41
Lamiaceae,Oklahoma,62,12
Lamiaceae,Oregon,42,31
Lamiaceae,Pennsylvania,28,54
Lamiaceae,Rhode_Island,48,20
Lamiaceae,South_Carolina,25,18
Lamiaceae,South_Dakota,25,10
Lamiaceae,Tennessee,57,25
Lamiaceae,Texas,20,26
Lamiaceae,Utah,29,24
Lamiaceae,Vermont,38,31
Lamiaceae,Virginia,32,41
Lamiaceae,Washington,5,52
Lamiaceae,West_Virginia,50,26
Lamiaceae,Wisconsin,22,36
Lamiaceae,Wyoming,57,13
