taxon,state_name,bad_neighbor_count,state_nn_species_count
Cyperaceae,Alabama,13,10
Cyperaceae,Arizona,22,4
Cyperaceae,California,4,24
Cyperaceae,Colorado,7,5
Cyperaceae,Connecticut,12,13
Cyperaceae,Delaware,16,6
Cyperaceae,District_of_Columbia,6,15
Cyperaceae,Florida,4,18
Cyperaceae,Georgia,15,10
Cyperaceae,Idaho,16,3
Cyperaceae,Iowa,16,1
Cyperaceae,Illinois,11,8
Cyperaceae,Indiana,15,3
Cyperaceae,Kansas,11,4
Cyperaceae,Kentucky,16,8
Cyperaceae,Louisiana,4,13
Cyperaceae,Maine,0,6
Cyperaceae,Maryland,10,14
Cyperaceae,Massachusetts,12,14
Cyperaceae,Michigan,3,6
Cyperaceae,Minnesota,2,4
Cyperaceae,Mississippi,3,13
Cyperaceae,Missouri,9,12
Cyperaceae,Montana,2,12
Cyperaceae,Nebraska,13,2
Cyperaceae,New_Hampshire,12,3
Cyperaceae,New_Jersey,15,10
Cyperaceae,New_Mexico,14,1
Cyperaceae,New_York,11,18
Cyperaceae,Nevada,26,3
Cyperaceae,North_Carolina,13,8
Cyperaceae,North_Dakota,12,1
Cyperaceae,Ohio,15,5
Cyperaceae,Oklahoma,17,3
Cyperaceae,Oregon,18,11
Cyperaceae,Pennsylvania,13,15
Cyperaceae,Rhode_Island,14,5
Cyperaceae,South_Carolina,8,6
Cyperaceae,South_Dakota,3,2
Cyperaceae,Tennessee,23,6
Cyperaceae,Texas,6,10
Cyperaceae,Utah,9,3
Cyperaceae,Vermont,22,2
Cyperaceae,Virginia,12,13
Cyperaceae,Washington,5,11
Cyperaceae,West_Virginia,23,1
Cyperaceae,Wisconsin,10,3
Poaceae,Alabama,108,95
Poaceae,Arizona,157,113
Poaceae,Arkansas,176,45
Poaceae,California,27,243
Poaceae,Colorado,74,106
Poaceae,Connecticut,85,101
Poaceae,Delaware,104,52
Poaceae,District_of_Columbia,69,75
Poaceae,Florida,43,146
Poaceae,Georgia,105,102
Poaceae,Idaho,107,87
Poaceae,Iowa,89,65
Poaceae,Illinois,60,94
Poaceae,Indiana,59,58
Poaceae,Kansas,80,84
Poaceae,Kentucky,82,80
Poaceae,Louisiana,75,119
Poaceae,Maine,8,66
Poaceae,Maryland,54,114
Poaceae,Massachusetts,57,112
Poaceae,Michigan,28,72
Poaceae,Minnesota,43,54
Poaceae,Mississippi,79,88
Poaceae,Missouri,44,119
Poaceae,Montana,32,119
Poaceae,Nebraska,113,59
Poaceae,New_Hampshire,64,55
Poaceae,New_Jersey,87,84
Poaceae,New_Mexico,129,94
Poaceae,New_York,34,151
Poaceae,Nevada,183,88
Poaceae,North_Carolina,68,92
Poaceae,North_Dakota,84,48
Poaceae,Ohio,69,66
Poaceae,Oklahoma,164,61
Poaceae,Oregon,118,148
Poaceae,Pennsylvania,86,109
Poaceae,Rhode_Island,79,51
Poaceae,South_Carolina,57,77
Poaceae,South_Dakota,52,58
Poaceae,Tennessee,123,82
Poaceae,Texas,44,155
Poaceae,Utah,83,93
Poaceae,Vermont,109,55
Poaceae,Virginia,62,101
Poaceae,Washington,36,136
Poaceae,West_Virginia,103,65
Poaceae,Wisconsin,45,78
Poaceae,Wyoming,113,68
