taxon,state_name,bad_neighbor_count,state_nn_species_count
Insecta,Alabama,139,62
Insecta,Arizona,125,54
Insecta,Arkansas,151,38
Insecta,California,47,137
Insecta,Colorado,84,68
Insecta,Connecticut,113,56
Insecta,Delaware,114,43
Insecta,District_of_Columbia,72,31
Insecta,Florida,25,149
Insecta,Georgia,155,59
Insecta,Idaho,108,27
Insecta,Iowa,103,64
Insecta,Illinois,57,116
Insecta,Indiana,95,68
Insecta,Kansas,78,52
Insecta,Kentucky,138,41
Insecta,Louisiana,104,56
Insecta,Maine,32,82
Insecta,Maryland,73,83
Insecta,Massachusetts,47,164
Insecta,Michigan,51,97
Insecta,Minnesota,53,63
Insecta,Mississippi,101,41
Insecta,Missouri,133,50
Insecta,Montana,36,50
Insecta,Nebraska,110,26
Insecta,New_Hampshire,96,87
Insecta,New_Jersey,85,94
Insecta,New_Mexico,138,48
Insecta,New_York,88,139
Insecta,Nevada,174,17
Insecta,North_Carolina,68,79
Insecta,North_Dakota,70,26
Insecta,Ohio,91,76
Insecta,Oklahoma,152,52
Insecta,Oregon,108,84
Insecta,Pennsylvania,76,119
Insecta,Rhode_Island,117,54
Insecta,South_Carolina,62,47
Insecta,South_Dakota,80,26
Insecta,Tennessee,119,65
Insecta,Texas,48,122
Insecta,Utah,83,43
Insecta,Vermont,151,59
Insecta,Virginia,77,75
Insecta,Washington,14,113
Insecta,West_Virginia,123,39
Insecta,Wisconsin,82,91
Insecta,Wyoming,95,18
