state_name,species_count
Alabama,574
Arizona,793
Arkansas,702
California,171
Colorado,369
Connecticut,354
Delaware,527
District_of_Columbia,272
Florida,171
Georgia,605
Idaho,541
Illinois,300
Indiana,442
Iowa,545
Kansas,398
Kentucky,546
Louisiana,337
Maine,66
Maryland,348
Massachusetts,295
Michigan,172
Minnesota,209
Mississippi,382
Missouri,339
Montana,137
Nebraska,589
Nevada,913
New_Hampshire,369
New_Jersey,399
New_Mexico,574
New_York,282
North_Carolina,281
North_Dakota,439
Ohio,357
Oklahoma,750
Oregon,587
Pennsylvania,366
Rhode_Island,470
South_Carolina,266
South_Dakota,282
Tennessee,605
Texas,249
Utah,400
Vermont,561
Virginia,324
Washington,133
West_Virginia,510
Wisconsin,314
Wyoming,541
