taxon,state_name,bad_neighbor_count,state_nn_species_count
Myrtaceae,Arizona,21,3
Myrtaceae,California,0,23
Myrtaceae,Colorado,3,2
Myrtaceae,Connecticut,2,1
Myrtaceae,Louisiana,2,2
Myrtaceae,Mississippi,2,1
Myrtaceae,New_York,1,2
Myrtaceae,Texas,1,2
Myrtaceae,Utah,4,1
Fabaceae,Alabama,108,64
Fabaceae,Arizona,153,39
Fabaceae,Arkansas,111,25
Fabaceae,California,23,167
Fabaceae,Colorado,57,52
Fabaceae,Connecticut,34,66
Fabaceae,Delaware,56,24
Fabaceae,District_of_Columbia,19,51
Fabaceae,Florida,18,144
Fabaceae,Georgia,104,64
Fabaceae,Idaho,84,44
Fabaceae,Iowa,77,22
Fabaceae,Illinois,35,63
Fabaceae,Indiana,58,27
Fabaceae,Kansas,56,51
Fabaceae,Kentucky,76,41
Fabaceae,Louisiana,43,66
Fabaceae,Maine,4,38
Fabaceae,Maryland,47,45
Fabaceae,Massachusetts,37,77
Fabaceae,Michigan,20,48
Fabaceae,Minnesota,20,26
Fabaceae,Mississippi,35,69
Fabaceae,Missouri,34,83
Fabaceae,Montana,17,83
Fabaceae,Nebraska,86,24
Fabaceae,New_Hampshire,50,29
Fabaceae,New_Jersey,51,51
Fabaceae,New_Mexico,88,32
Fabaceae,New_York,37,85
Fabaceae,Nevada,167,27
Fabaceae,North_Carolina,26,60
Fabaceae,North_Dakota,67,20
Fabaceae,Ohio,39,47
Fabaceae,Oklahoma,97,30
Fabaceae,Oregon,107,85
Fabaceae,Pennsylvania,42,65
Fabaceae,Rhode_Island,66,25
Fabaceae,South_Carolina,24,51
Fabaceae,South_Dakota,32,19
Fabaceae,Tennessee,71,55
Fabaceae,Texas,33,69
Fabaceae,Utah,58,42
Fabaceae,Vermont,72,32
Fabaceae,Virginia,40,51
Fabaceae,Washington,28,88
Fabaceae,West_Virginia,50,41
Fabaceae,Wisconsin,38,40
Fabaceae,Wyoming,90,26
Ulmaceae,Alabama,2,1
Ulmaceae,Arizona,2,3
Ulmaceae,California,0,5
Ulmaceae,Colorado,1,4
Ulmaceae,Connecticut,0,5
Ulmaceae,District_of_Columbia,2,3
Ulmaceae,Florida,1,2
Ulmaceae,Idaho,2,3
Ulmaceae,Iowa,4,1
Ulmaceae,Illinois,2,3
Ulmaceae,Indiana,3,2
Ulmaceae,Kansas,1,3
Ulmaceae,Kentucky,3,2
Ulmaceae,Louisiana,1,1
Ulmaceae,Maine,1,1
Ulmaceae,Maryland,1,4
Ulmaceae,Massachusetts,0,5
Ulmaceae,Michigan,0,5
Ulmaceae,Minnesota,0,1
Ulmaceae,Missouri,1,4
Ulmaceae,Montana,1,4
Ulmaceae,Nebraska,3,1
Ulmaceae,New_Hampshire,4,1
Ulmaceae,New_Jersey,0,5
Ulmaceae,New_Mexico,4,1
Ulmaceae,New_York,0,5
Ulmaceae,Nevada,2,3
Ulmaceae,North_Carolina,2,2
Ulmaceae,North_Dakota,3,1
Ulmaceae,Ohio,0,5
Ulmaceae,Oklahoma,3,1
Ulmaceae,Oregon,2,3
Ulmaceae,Pennsylvania,4,1
Ulmaceae,Rhode_Island,3,2
Ulmaceae,South_Carolina,2,1
Ulmaceae,South_Dakota,0,1
Ulmaceae,Tennessee,2,3
Ulmaceae,Texas,0,2
Ulmaceae,Utah,1,4
Ulmaceae,Vermont,3,2
Ulmaceae,Virginia,1,4
Ulmaceae,Washington,0,5
Ulmaceae,West_Virginia,3,2
Ulmaceae,Wisconsin,4,1
Ulmaceae,Wyoming,4,1
Rosaceae,Alabama,21,30
Rosaceae,Arizona,67,12
Rosaceae,Arkansas,73,10
Rosaceae,California,20,61
Rosaceae,Colorado,46,26
Rosaceae,Connecticut,16,70
Rosaceae,Delaware,58,11
Rosaceae,District_of_Columbia,25,53
Rosaceae,Florida,25,17
Rosaceae,Georgia,24,30
Rosaceae,Idaho,58,26
Rosaceae,Iowa,77,8
Rosaceae,Illinois,37,53
Rosaceae,Indiana,59,20
Rosaceae,Kansas,31,56
Rosaceae,Kentucky,65,30
Rosaceae,Louisiana,21,25
Rosaceae,Maine,3,30
Rosaceae,Maryland,37,47
Rosaceae,Massachusetts,35,55
Rosaceae,Michigan,24,48
Rosaceae,Minnesota,28,15
Rosaceae,Mississippi,33,22
Rosaceae,Missouri,38,63
Rosaceae,Montana,8,63
Rosaceae,Nebraska,79,8
Rosaceae,New_Hampshire,40,23
Rosaceae,New_Jersey,34,48
Rosaceae,New_Mexico,43,16
Rosaceae,New_York,25,72
Rosaceae,Nevada,81,5
Rosaceae,North_Carolina,34,37
Rosaceae,North_Dakota,68,2
Rosaceae,Ohio,27,52
Rosaceae,Oklahoma,91,6
Rosaceae,Oregon,39,56
Rosaceae,Pennsylvania,35,54
Rosaceae,Rhode_Island,50,27
Rosaceae,South_Carolina,20,25
Rosaceae,South_Dakota,29,3
Rosaceae,Tennessee,68,30
Rosaceae,Texas,27,26
Rosaceae,Utah,29,26
Rosaceae,Vermont,51,33
Rosaceae,Virginia,23,60
Rosaceae,Washington,8,71
Rosaceae,West_Virginia,55,32
Rosaceae,Wisconsin,35,35
Rosaceae,Wyoming,73,6
